defined_class	defined_class_label	behavior_process	behavior_process_label
FBcv:0007517	increased memory	GO:0007613	memory
FBcv:0007519	increased short-term memory	GO:0007614	short-term memory
FBcv:0007521	increased long-term memory	GO:0007616	long-term memory
FBcv:0007523	increased anesthesia-resistant memory	GO:0007615	anesthesia-resistant memory
FBcv:0007525	increased medium-term memory	GO:0072375	medium-term memory
FBcv:0007530	increased efficacy of learning	GO:0007612	learning
